studyName,Region,Island,Stage,Individual ID,Clutch Completion,Date Egg,Culmen Length (mm),Culmen Depth (mm),Flipper Length (mm),Body Mass (g),Sex,Delta 15 N (o/oo),Delta 13 C (o/oo),Comments
PAL0809,Anvers,Biscoe,"Adult, 1 Egg Stage",N60A1,Yes,09/11/2008,48.98,16.81,184.03,5595,FEMALE,8.24694,-26.65359,
PAL0910,Anvers,Biscoe,"Adult, 1 Egg Stage",N20A2,Yes,18/11/2009,55.15,12.73,196.75,3420,FEMALE,7.8881,-26.04726,
PAL0809,Anvers,Biscoe,"Adult, 1 Egg Stage",NP25,Yes,25/11/2007,46.73,18.05,179.88,5473,FEMALE,8.64529,-26.56077,
PAL0910,Anvers,Dream,"Adult, 1 Egg Stage",N83A2,Yes,13/11/2009,56.22,13.37,189.42,3059,FEMALE,8.68744,-25.8306,
PAL0708,Anvers,Biscoe,"Adult, 1 Egg Stage",N46A1,Yes,29/11/2007,37.84,12.18,192,5015,,7.96621,-25.69327,Sexing primers did not amplify.
PAL0809,Anvers,Torgersen,"Adult, 1 Egg Stage",N39A2,Yes,02/11/2008,49.42,16.92,181.63,5480,MALE,8.63259,-26.23027,
PAL0910,Anvers,Torgersen,"Adult, 1 Egg Stage",N67A2,Yes,16/11/2009,53.6,13.34,189.54,3175,MALE,9.59462,-25.42621,
PAL0910,Anvers,Dream,"Adult, 1 Egg Stage",NP98,Yes,06/02/2008,58.38,13.02,186.87,3781,,8.43258,-24.35414,
PAL0809,Anvers,Dream,"Adult, 1 Egg Stage",N65A2,Yes,24/11/2008,37.06,11.71,178.28,4977,MALE,9.23196,-24.17282,
PAL0809,Anvers,Torgersen,"Adult, 1 Egg Stage",N32A1,No,11/11/2008,36.59,11.42,185.33,5117,FEMALE,8.47781,-26.07821,Nest never observed with full clutch.
PAL0708,Anvers,Biscoe,"Adult, 1 Egg Stage",N38A1,Yes,03/12/2007,48.05,18.39,187.06,5556,FEMALE,7.79958,-25.62618,
PAL0708,Anvers,Biscoe,"Adult, 1 Egg Stage",NP28,Yes,28/11/2007,39.5,11.36,185.97,5261,MALE,9.99208,-24.26614,Not enough blood for isotopes.
PAL0708,Anvers,Dream,"Adult, 1 Egg Stage",N61A1,No,19/11/2007,,19.21,205.84,4718,FEMALE,9.03935,-24.30229,Nest never observed with full clutch.
PAL0910,Anvers,Biscoe,"Adult, 1 Egg Stage",NP66,No,05/01/2008,51.56,12.1,193.91,2947,FEMALE,8.32065,-25.17467,
PAL0910,Anvers,Biscoe,"Adult, 1 Egg Stage",NP50,Yes,20/12/2007,50.06,17.32,182.33,5980,MALE,7.38747,-26.05135,
PAL0708,Anvers,Torgersen,"Adult, 1 Egg Stage",N7A1,Yes,15/11/2007,47.06,15.93,184.62,5862,FEMALE,,,Not enough blood for isotopes.
PAL0809,Anvers,Biscoe,"Adult, 1 Egg Stage",N25A2,Yes,15/11/2008,49.32,16.13,188.75,5824,MALE,9.108,-25.89677,
PAL0809,Anvers,Biscoe,"Adult, 1 Egg Stage",NP70,Yes,09/01/2008,39.61,10.14,191.04,5495,FEMALE,8.73802,-24.25122,
PAL0910,Anvers,Dream,"Adult, 1 Egg Stage",N93A1,Yes,27/11/2009,52.65,17.32,182.05,5756,FEMALE,9.56534,-24.60882,
PAL0910,Anvers,Dream,"Adult, 1 Egg Stage",NP69,Yes,08/01/2008,52.41,13.46,189.03,3338,MALE,8.8091,-24.96735,Adult not sampled.
PAL0708,Anvers,Torgersen,"Adult, 1 Egg Stage",NP77,No,16/01/2008,49.64,15.96,183.53,5426,MALE,8.6598,-25.77885,
PAL0809,Anvers,Dream,"Adult, 1 Egg Stage",N46A2,Yes,05/11/2008,55.22,13.69,186.41,3232,MALE,8.49915,-26.42406,
PAL0708,Anvers,Torgersen,"Adult, 1 Egg Stage",N6A2,Yes,09/11/2007,39.22,10.78,198.66,5367,,,,No blood sample obtained.
PAL0910,Anvers,Torgersen,"Adult, 1 Egg Stage",N63A1,Yes,18/11/2009,36.43,14.02,189.31,5110,FEMALE,9.18021,-25.77264,
PAL0708,Anvers,Torgersen,"Adult, 1 Egg Stage",NP88,No,27/01/2008,56.73,13.49,190.44,3229,FEMALE,8.33937,-26.31824,
PAL0809,Anvers,Biscoe,"Adult, 1 Egg Stage",N11A2,No,09/11/2008,48.08,17.08,181.2,6108,MALE,8.65803,-26.57585,Nest never observed with full clutch.
PAL0910,Anvers,Torgersen,"Adult, 1 Egg Stage",N72A1,Yes,18/11/2009,50.43,19.22,223.39,4557,FEMALE,9.19031,-25.73722,
PAL0809,Anvers,Biscoe,"Adult, 1 Egg Stage",N12A1,Yes,02/11/2008,55.94,12.33,193.44,3793,FEMALE,8.45167,-26.89644,
PAL0910,Anvers,Dream,"Adult, 1 Egg Stage",N99A2,No,21/11/2009,54.73,12.53,187.79,3458,MALE,9.4618,-24.70615,Nest never observed with full clutch.
PAL0708,Anvers,Torgersen,"Adult, 1 Egg Stage",N7A2,Yes,15/11/2007,38.05,21.87,223.39,4277,MALE,,,Not enough blood for isotopes.
PAL0809,Anvers,Biscoe,"Adult, 1 Egg Stage",N56A2,Yes,06/11/2008,40.41,18.67,210.85,4564,MALE,8.5964,-26.71199,
PAL0708,Anvers,Dream,"Adult, 1 Egg Stage",N22A2,Yes,09/11/2007,52.67,12.86,190.11,3548,MALE,8.79665,-25.14591,
PAL0809,Anvers,Biscoe,"Adult, 1 Egg Stage",N20A1,Yes,04/11/2008,47.29,15.47,185.15,6186,FEMALE,8.60447,-26.61601,
PAL0910,Anvers,Dream,"Adult, 1 Egg Stage",N86A1,Yes,17/11/2009,49.52,16.85,181.46,5566,FEMALE,9.43684,-24.16566,
PAL0809,Anvers,Biscoe,"Adult, 1 Egg Stage",N20A2,Yes,04/11/2008,51.54,15.89,182.09,5713,MALE,8.47067,-26.69166,
PAL0910,Anvers,Biscoe,"Adult, 1 Egg Stage",N21A2,Yes,18/11/2009,36.72,11.39,184.03,4461,MALE,8.2066,-26.36863,
PAL0708,Anvers,Dream,"Adult, 1 Egg Stage",N72A2,Yes,30/11/2007,48.87,16.44,180.66,5565,MALE,9.27158,-24.64335,
PAL0809,Anvers,Biscoe,"Adult, 1 Egg Stage",NP95,Yes,03/02/2008,44.95,18.08,212.94,4264,MALE,8.60718,-25.01799,
PAL0809,Anvers,Biscoe,"Adult, 1 Egg Stage",N56A1,Yes,06/11/2008,40.12,18.56,217,5031,FEMALE,8.47938,-26.9547,
PAL0910,Anvers,Biscoe,"Adult, 1 Egg Stage",N35A1,Yes,25/11/2009,57.95,12.43,182.61,3121,FEMALE,8.30231,-25.96013,
PAL0809,Anvers,Dream,"Adult, 1 Egg Stage",N61A1,No,25/11/2008,34.59,12.81,184.21,5179,FEMALE,8.9399,-23.89017,Nest never observed with full clutch.
PAL0910,Anvers,Biscoe,"Adult, 1 Egg Stage",N35A2,Yes,25/11/2009,41.46,19.83,215.24,5027,MALE,8.08354,-26.18161,
PAL0809,Anvers,Dream,"Adult, 1 Egg Stage",NP8,Yes,08/11/2007,39.95,11.22,186.51,5038,FEMALE,7.74703,-26.85604,
PAL0708,Anvers,Dream,"Adult, 1 Egg Stage",N71A2,No,30/11/2007,38.87,12.57,187.06,6234,FEMALE,9.14382,-24.57994,Nest never observed with full clutch.
PAL0809,Anvers,Biscoe,"Adult, 1 Egg Stage",N6A2,No,04/11/2008,51.22,18.51,188.36,5754,MALE,8.38324,-26.84272,Nest never observed with full clutch.
PAL0708,Anvers,Biscoe,"Adult, 1 Egg Stage",N18A1,No,10/11/2007,50.62,17.16,186.78,5770,FEMALE,8.38404,-25.19837,Nest never observed with full clutch.
PAL0910,Anvers,Biscoe,"Adult, 1 Egg Stage",N23A2,Yes,18/11/2009,39.63,14.09,181.34,4855,MALE,8.65914,-25.79203,
PAL0708,Anvers,Biscoe,"Adult, 1 Egg Stage",NP13,No,13/11/2007,32.59,11.63,185.61,5944,MALE,7.28617,-26.17828,
PAL0708,Anvers,Dream,"Adult, 1 Egg Stage",N71A1,No,30/11/2007,48.63,16.76,182.02,5401,MALE,10.02019,-24.54704,Nest never observed with full clutch.
PAL0809,Anvers,Biscoe,"Adult, 1 Egg Stage",N28A2,Yes,13/11/2008,36.75,13.18,181.72,4794,MALE,8.62264,-26.60023,
PAL0910,Anvers,Dream,"Adult, 1 Egg Stage",N87A2,Yes,27/11/2009,41.71,20.72,214.99,3959,MALE,9.34089,-24.45189,
PAL0809,Anvers,Torgersen,"Adult, 1 Egg Stage",N40A2,Yes,07/11/2008,40.82,19.98,222.27,5007,MALE,8.90002,-26.46254,
PAL0910,Anvers,Biscoe,"Adult, 1 Egg Stage",N28A1,Yes,10/11/2009,46.2,16.83,180.7,5382,FEMALE,8.12311,-26.44815,
PAL0809,Anvers,Biscoe,"Adult, 1 Egg Stage",N8A1,Yes,03/11/2008,54.48,13.8,192.73,3481,MALE,8.46894,-26.60436,
PAL0910,Anvers,Torgersen,"Adult, 1 Egg Stage",N71A2,Yes,21/11/2009,50,20.52,230.72,4121,MALE,8.52566,-26.0245,
PAL0708,Anvers,Torgersen,"Adult, 1 Egg Stage",NP18,Yes,18/11/2007,55.1,11.92,192.61,3102,MALE,9.07163,-24.19198,
PAL0809,Anvers,Dream,"Adult, 1 Egg Stage",NP85,No,24/01/2008,53.58,11.06,192.81,3652,FEMALE,8.41402,-24.33694,
PAL0910,Anvers,Biscoe,"Adult, 1 Egg Stage",N22A2,Yes,22/11/2009,53.61,17.16,184.51,5559,MALE,8.3118,-26.35425,
PAL0910,Anvers,Biscoe,"Adult, 1 Egg Stage",N8A2,Yes,22/11/2009,36.16,12.14,184.14,5880,MALE,8.27428,-26.30019,
PAL0910,Anvers,Dream,"Adult, 1 Egg Stage",N76A2,Yes,10/11/2009,37.13,21.01,217.01,4131,MALE,8.56708,-26.49288,
PAL0708,Anvers,Biscoe,"Adult, 1 Egg Stage",N32A2,Yes,27/11/2007,40.91,11.08,185.89,5141,MALE,8.2554,-25.40075,
PAL0910,Anvers,Dream,"Adult, 1 Egg Stage",N79A1,No,16/11/2009,41.15,18.59,209.98,5488,FEMALE,8.61651,-26.07021,Nest never observed with full clutch.
PAL0910,Anvers,Biscoe,"Adult, 1 Egg Stage",N47A2,Yes,09/11/2009,55.56,14.59,193.02,2811,MALE,9.01079,-26.38085,
PAL0708,Anvers,Dream,"Adult, 1 Egg Stage",N27A1,Yes,19/11/2007,54.62,13.61,188.33,3069,FEMALE,9.50772,-25.03492,
PAL0910,Anvers,Biscoe,"Adult, 1 Egg Stage",NP15,Yes,15/11/2007,40.64,18.71,,5291,FEMALE,7.81213,-26.51409,
PAL0910,Anvers,Biscoe,"Adult, 1 Egg Stage",NP9,Yes,09/11/2007,46.65,15.44,185.31,5516,FEMALE,8.7372,-24.61891,No blood sample obtained.
PAL0809,Anvers,Biscoe,"Adult, 1 Egg Stage",N12A2,Yes,02/11/2008,52.97,12.71,194.61,3418,MALE,8.55868,-26.67799,
PAL0809,Anvers,Biscoe,"Adult, 1 Egg Stage",N27A1,Yes,13/11/2008,55.08,13.64,190.52,3405,FEMALE,8.96472,-26.40943,
PAL0809,Anvers,Biscoe,"Adult, 1 Egg Stage",N7A1,Yes,04/11/2008,38.69,12.82,188.09,5403,FEMALE,8.37615,-26.72791,
PAL0708,Anvers,Dream,"Adult, 1 Egg Stage",N73A2,Yes,03/12/2007,36.47,11.59,187.05,5444,MALE,9.42666,-24.26375,
PAL0809,Anvers,Biscoe,"Adult, 1 Egg Stage",NP99,No,07/02/2008,46.53,21.15,207.24,4880,FEMALE,9.18095,-24.69614,
PAL0910,Anvers,Torgersen,"Adult, 1 Egg Stage",N69A1,Yes,18/11/2009,54.97,13.93,197.27,3161,FEMALE,8.81668,-25.95399,
PAL0809,Anvers,Biscoe,"Adult, 1 Egg Stage",N15A2,Yes,04/11/2008,56.89,12.95,189.91,3185,MALE,8.63488,-26.75621,
PAL0910,Anvers,Biscoe,"Adult, 1 Egg Stage",N49A2,Yes,15/11/2009,52.95,13.38,188.76,3501,MALE,9.51929,-25.69199,
PAL0708,Anvers,Biscoe,"Adult, 1 Egg Stage",N17A1,Yes,12/11/2007,38.88,11.82,185.61,5449,MALE,8.93997,-25.36288,
PAL0708,Anvers,Biscoe,"Adult, 1 Egg Stage",N35A1,Yes,27/11/2007,51.31,16.22,184.32,5472,FEMALE,8.13643,-25.32176,
PAL0910,Anvers,Biscoe,"Adult, 1 Egg Stage",N36A2,Yes,01/12/2009,56.04,14.24,188.34,3533,MALE,8.33825,-25.88547,
PAL0809,Anvers,Torgersen,"Adult, 1 Egg Stage",N37A1,Yes,06/11/2008,36.87,18.11,214.55,4546,FEMALE,8.47257,-26.02002,
PAL0708,Anvers,Dream,"Adult, 1 Egg Stage",N21A2,Yes,09/11/2007,39.49,19.82,210.52,4108,MALE,9.72764,-25.0102,
PAL0809,Anvers,Biscoe,"Adult, 1 Egg Stage",N4A1,Yes,02/11/2008,39.36,11.78,189.97,4495,FEMALE,7.96935,-26.70968,
PAL0809,Anvers,Biscoe,"Adult, 1 Egg Stage",N21A1,Yes,06/11/2008,50.45,17.02,182.45,5672,FEMALE,8.46616,-26.12989,
PAL0809,Anvers,Dream,"Adult, 1 Egg Stage",NP53,No,23/12/2007,51.52,16.08,185.82,5785,FEMALE,8.28596,-26.84197,Adult not sampled.
PAL0809,Anvers,Torgersen,"Adult, 1 Egg Stage",N32A2,No,11/11/2008,43.05,19.66,228.71,4613,MALE,8.86853,-26.06209,Nest never observed with full clutch.
PAL0708,Anvers,Biscoe,"Adult, 1 Egg Stage",NP44,Yes,14/12/2007,40.3,13.09,188.85,4734,MALE,9.95138,-24.7657,
PAL0809,Anvers,Biscoe,"Adult, 1 Egg Stage",N4A2,Yes,02/11/2008,47.5,19.32,231,4100,MALE,8.13746,-26.79093,
PAL0708,Anvers,Torgersen,"Adult, 1 Egg Stage",N3A1,Yes,16/11/2007,42.06,11.57,174.54,4943,FEMALE,8.76651,-25.32426,
PAL0708,Anvers,Torgersen,"Adult, 1 Egg Stage",N2A2,Yes,16/11/2007,40.71,18.53,211.56,3758,,,,Adult not sampled.
PAL0708,Anvers,Biscoe,"Adult, 1 Egg Stage",N34A2,Yes,27/11/2007,53.96,11.76,191.31,3720,MALE,8.22673,-25.4276,
PAL0809,Anvers,Biscoe,"Adult, 1 Egg Stage",N5A2,Yes,09/11/2008,49.43,17.25,183.67,5737,MALE,8.14776,-26.84506,
PAL0910,Anvers,Biscoe,"Adult, 1 Egg Stage",NP97,Yes,05/02/2008,50.03,17.18,187.22,5682,MALE,8.084,-26.25585,
PAL0910,Anvers,Torgersen,"Adult, 1 Egg Stage",N66A1,No,17/11/2009,43.8,21.28,212.52,5941,FEMALE,9.04296,-26.19444,Nest never observed with full clutch.
PAL0910,Anvers,Dream,"Adult, 1 Egg Stage",N93A2,Yes,27/11/2009,38.4,12,186.57,5265,MALE,9.77528,-24.56481,
PAL0708,Anvers,Dream,"Adult, 1 Egg Stage",NP92,Yes,31/01/2008,30.19,13.23,192.21,4547,MALE,9.26982,-26.17597,
PAL0708,Anvers,Dream,"Adult, 1 Egg Stage",N28A2,Yes,16/11/2007,52.94,16.02,213.37,4829,MALE,9.49106,-24.10255,
PAL0910,Anvers,Biscoe,"Adult, 1 Egg Stage",N60A2,Yes,15/11/2009,44.23,20.06,226.45,3876,MALE,8.80186,-26.41218,
PAL0708,Anvers,Biscoe,"Adult, 1 Egg Stage",N13A2,Yes,10/11/2007,49.68,16.93,179.5,5795,FEMALE,9.21292,-24.3613,
PAL0910,Anvers,Dream,"Adult, 1 Egg Stage",N82A2,Yes,16/11/2009,55.18,13.2,192.71,3057,MALE,9.22033,-26.03442,
PAL0708,Anvers,Torgersen,"Adult, 1 Egg Stage",N3A2,Yes,16/11/2007,47.13,17.1,185.94,5721,MALE,8.66496,-25.29805,
PAL0708,Anvers,Biscoe,"Adult, 1 Egg Stage",NP80,Yes,19/01/2008,54.73,11.74,195.12,3251,,9.85832,-25.50767,
PAL0809,Anvers,Biscoe,"Adult, 1 Egg Stage",N22A1,Yes,09/11/2008,46.68,18.56,216.95,4454,FEMALE,8.19539,-26.17213,
PAL0910,Anvers,Biscoe,"Adult, 1 Egg Stage",N8A1,Yes,22/11/2009,58.66,13.11,191.12,2854,FEMALE,8.11238,-26.20372,
PAL0708,Anvers,Torgersen,"Adult, 1 Egg Stage",NP73,No,12/01/2008,51.37,16.21,185.87,5393,FEMALE,7.90445,-25.05748,No blood sample obtained.
PAL0910,Anvers,Biscoe,"Adult, 1 Egg Stage",NP89,Yes,28/01/2008,59.49,12.63,189.42,3333,,9.11744,-25.73916,
PAL0910,Anvers,Biscoe,"Adult, 1 Egg Stage",N13A1,Yes,20/11/2009,30.74,11.14,188.61,5243,FEMALE,8.23468,-26.18599,
PAL0809,Anvers,Biscoe,"Adult, 1 Egg Stage",N58A1,Yes,06/11/2008,43.66,18.59,216.94,4090,FEMALE,8.39299,-26.78733,
PAL0809,Anvers,Torgersen,"Adult, 1 Egg Stage",NP48,Yes,18/12/2007,45.99,19.5,216.4,4702,FEMALE,7.81785,-24.74374,
PAL0910,Anvers,Dream,"Adult, 1 Egg Stage",N96A1,Yes,27/11/2009,36.35,11.48,182.32,4997,MALE,,-23.78767,No delta15N data received from lab.
PAL0708,Anvers,Dream,"Adult, 1 Egg Stage",N64A2,Yes,21/11/2007,40.55,12.51,183.57,5751,FEMALE,8.88942,-24.49433,
PAL0809,Anvers,Biscoe,"Adult, 1 Egg Stage",NP26,Yes,26/11/2007,52.69,11.67,194.51,3743,FEMALE,7.86723,-25.24665,
PAL0708,Anvers,Dream,"Adult, 1 Egg Stage",N29A1,Yes,13/11/2007,48.15,16.02,189.19,5854,MALE,,,Not enough blood for isotopes.
PAL0910,Anvers,Dream,"Adult, 1 Egg Stage",N82A1,Yes,16/11/2009,56.63,12.22,197.52,3177,FEMALE,9.06829,-25.85203,
PAL0809,Anvers,Biscoe,"Adult, 1 Egg Stage",N8A2,Yes,03/11/2008,47.09,17.29,188.83,5901,FEMALE,8.27141,-26.7765,
PAL0809,Anvers,Dream,"Adult, 1 Egg Stage",NP4,Yes,04/11/2007,51.91,12.45,185,3488,MALE,8.91857,-24.64089,Adult not sampled.
PAL0910,Anvers,Torgersen,"Adult, 1 Egg Stage",N66A2,No,17/11/2009,38.51,11.1,186.96,5300,MALE,9.11066,-26.42563,Nest never observed with full clutch.
PAL0910,Anvers,Biscoe,"Adult, 1 Egg Stage",N51A2,Yes,15/11/2009,49.28,17.67,185.65,5545,MALE,8.85699,-25.80208,
PAL0809,Anvers,Dream,"Adult, 1 Egg Stage",N63A2,Yes,24/11/2008,52.37,12.87,195.47,3120,MALE,9.49283,-24.59996,
PAL0809,Anvers,Dream,"Adult, 1 Egg Stage",N45A1,Yes,14/11/2008,52.74,16.19,178.97,5474,FEMALE,8.46531,-26.05621,
PAL0910,Anvers,Biscoe,"Adult, 1 Egg Stage",N36A1,Yes,01/12/2009,56.5,13.45,191.53,2936,.,8.04111,-26.18444,Sexing primers did not amplify.
PAL0910,Anvers,Dream,"Adult, 1 Egg Stage",N95A2,Yes,21/11/2009,43.26,11.46,180.18,5272,FEMALE,9.46985,-24.65786,
PAL0809,Anvers,Dream,"Adult, 1 Egg Stage",N74A2,Yes,24/11/2008,52.06,17.81,181.87,5717,FEMALE,9.61734,-24.66188,
PAL0708,Anvers,Biscoe,"Adult, 1 Egg Stage",N56A1,Yes,03/12/2007,55.4,13.57,186.93,3590,FEMALE,7.97408,-25.53768,
PAL0910,Anvers,Biscoe,"Adult, 1 Egg Stage",NP31,Yes,01/12/2007,56,13.24,181.68,3013,FEMALE,8.54069,-26.13441,
PAL0809,Anvers,Biscoe,"Adult, 1 Egg Stage",N19A2,Yes,13/11/2008,44.6,18.11,215.03,4321,MALE,8.49662,-26.84166,
PAL0708,Anvers,Dream,"Adult, 1 Egg Stage",N70A1,Yes,22/11/2007,54.2,13.38,198.13,3698,FEMALE,9.12277,-24.90024,
PAL0910,Anvers,Torgersen,"Adult, 1 Egg Stage",NP96,Yes,04/02/2008,39.16,19.77,207.58,5330,,8.70819,-25.49819,
PAL0708,Anvers,Torgersen,"Adult, 1 Egg Stage",N10A2,Yes,16/11/2007,36.98,13.63,194,5124,MALE,9.11616,-24.77227,
PAL0708,Anvers,Biscoe,"Adult, 1 Egg Stage",N12A2,Yes,12/11/2007,33.69,13.53,194.36,5226,MALE,8.43423,-25.22664,
PAL0809,Anvers,Biscoe,"Adult, 1 Egg Stage",N58A2,Yes,06/11/2008,36.68,12.46,185.3,5730,MALE,8.40327,-26.76821,
PAL0910,Anvers,Dream,"Adult, 1 Egg Stage",N80A2,Yes,14/11/2009,42.65,17.11,226.8,3776,MALE,9.23408,-26.01549,
PAL0910,Anvers,Torgersen,"Adult, 1 Egg Stage",N63A2,Yes,18/11/2009,54.98,11.93,181.44,3521,MALE,9.49645,-26.36678,
PAL0910,Anvers,Biscoe,"Adult, 1 Egg Stage",N53A1,Yes,15/11/2009,37.62,11.02,182.4,5601,FEMALE,8.77322,-26.48973,
PAL0910,Anvers,Biscoe,"Adult, 1 Egg Stage",N32A2,Yes,20/11/2009,51.64,13.52,188.7,3970,MALE,8.29226,-26.21019,
PAL0809,Anvers,Dream,"Adult, 1 Egg Stage",NP32,Yes,02/12/2007,40.89,12.1,178.57,4837,MALE,7.70094,-25.82623,Adult not sampled.
PAL0809,Anvers,Biscoe,"Adult, 1 Egg Stage",N13A1,Yes,04/11/2008,,18.16,183.28,5677,FEMALE,8.38289,-26.86352,
PAL0809,Anvers,Dream,"Adult, 1 Egg Stage",N50A1,Yes,10/11/2008,40.69,11,190.19,5824,FEMALE,9.04218,-26.15775,
PAL0708,Anvers,Biscoe,"Adult, 1 Egg Stage",N36A1,No,27/11/2007,39.93,19.28,214.95,3925,FEMALE,8.19579,-25.3933,Nest never observed with full clutch.
PAL0708,Anvers,Biscoe,"Adult, 1 Egg Stage",N47A2,Yes,29/11/2007,38.9,10.55,187.55,5547,MALE,8.30515,-25.19017,
PAL0708,Anvers,Biscoe,"Adult, 1 Egg Stage",NP71,Yes,10/01/2008,43.94,18.03,230.65,4852,MALE,8.61276,-24.95914,Sexing primers did not amplify.
PAL0809,Anvers,Biscoe,"Adult, 1 Egg Stage",N30A2,Yes,06/11/2008,39.19,10.61,179.69,5712,MALE,8.71078,-25.81012,
PAL0708,Anvers,Dream,"Adult, 1 Egg Stage",N70A2,Yes,22/11/2007,44.64,16.01,204.51,4624,MALE,9.8059,-24.7294,
PAL0809,Anvers,Biscoe,"Adult, 1 Egg Stage",N16A2,Yes,03/11/2008,51.9,17.26,183.93,5335,MALE,8.63604,-26.7489,
PAL0809,Anvers,Dream,"Adult, 1 Egg Stage",N69A1,Yes,14/11/2008,50.43,17.46,186.34,5691,FEMALE,8.83502,-24.65859,
PAL0910,Anvers,Dream,"Adult, 1 Egg Stage",N99A1,No,21/11/2009,34.94,13.96,190.54,5793,FEMALE,9.37608,-24.40753,Nest never observed with full clutch.
PAL0910,Anvers,Dream,"Adult, 1 Egg Stage",NP67,Yes,06/01/2008,44.26,19.83,219.87,3935,FEMALE,9.23478,-24.22694,
PAL0809,Anvers,Dream,"Adult, 1 Egg Stage",N42A1,Yes,08/11/2008,53.74,12.99,197.3,3390,MALE,8.57087,-26.22227,
PAL0809,Anvers,Biscoe,"Adult, 1 Egg Stage",N23A1,Yes,09/11/2008,50.36,16.95,185.63,5422,FEMALE,8.41837,-26.54718,
PAL0809,Anvers,Biscoe,"Adult, 1 Egg Stage",N18A2,Yes,03/11/2008,37.65,12.79,195.45,5739,MALE,8.60092,-26.84374,
PAL0910,Anvers,Dream,"Adult, 1 Egg Stage",N88A2,Yes,23/11/2009,45.29,19.9,222.67,5071,FEMALE,9.32169,-24.41562,
PAL0809,Anvers,Torgersen,"Adult, 1 Egg Stage",NP39,Yes,09/12/2007,46.1,18.73,212.87,5095,,8.75089,-24.70385,
PAL0910,Anvers,Biscoe,"Adult, 1 Egg Stage",N24A2,Yes,01/12/2009,37.64,18.39,211.93,4103,MALE,8.32359,-26.05756,
PAL0708,Anvers,Dream,"Adult, 1 Egg Stage",N23A2,Yes,16/11/2007,39.74,18.95,190.1,3987,MALE,9.15308,-25.03469,
PAL0910,Anvers,Dream,"Adult, 1 Egg Stage",NP46,Yes,16/12/2007,54.65,12.16,193.53,3540,MALE,7.06108,-26.90343,
PAL0910,Anvers,Biscoe,"Adult, 1 Egg Stage",N13A2,Yes,20/11/2009,39.36,10.64,190.48,5250,MALE,8.15426,-26.3433,
PAL0809,Anvers,Dream,"Adult, 1 Egg Stage",N62A2,Yes,14/11/2008,37.87,11.55,180.06,4702,MALE,9.25177,-24.69638,
PAL0910,Anvers,Biscoe,"Adult, 1 Egg Stage",N18A2,Yes,01/12/2009,38.14,10.19,187.82,5396,MALE,8.83352,-25.69195,
PAL0708,Anvers,Dream,"Adult, 1 Egg Stage",N26A2,Yes,16/11/2007,44.71,18.41,179.41,5260,MALE,,,Not enough blood for isotopes.
PAL0910,Anvers,Torgersen,"Adult, 1 Egg Stage",NP82,Yes,21/01/2008,36.58,12.16,199.28,5283,MALE,7.68438,-24.0725,
PAL0809,Anvers,Biscoe,"Adult, 1 Egg Stage",N19A1,Yes,13/11/2008,44.17,18.26,202.83,4557,FEMALE,8.6287,-26.60484,
PAL0708,Anvers,Torgersen,"Adult, 1 Egg Stage",N5A2,Yes,09/11/2007,35.16,11.81,180.8,4804,,9.13362,-25.09368,No blood sample obtained for sexing.
PAL0809,Anvers,Biscoe,"Adult, 1 Egg Stage",N17A1,Yes,06/11/2008,40.17,18.17,220.14,4840,FEMALE,8.48367,-26.86485,
PAL0910,Anvers,Biscoe,"Adult, 1 Egg Stage",N23A1,Yes,18/11/2009,41.8,20,206.47,4447,FEMALE,8.30817,-26.21651,
PAL0809,Anvers,Biscoe,"Adult, 1 Egg Stage",NP12,No,12/11/2007,57.05,11.88,196.61,3211,FEMALE,9.39026,-26.58045,
PAL0708,Anvers,Dream,"Adult, 1 Egg Stage",N28A1,Yes,16/11/2007,50.77,16.91,201.68,4493,FEMALE,9.36392,-25.01745,
PAL0708,Anvers,Dream,"Adult, 1 Egg Stage",N64A1,Yes,21/11/2007,55.76,12.67,193.58,3167,MALE,9.00642,-24.61867,
PAL0809,Anvers,Torgersen,"Adult, 1 Egg Stage",NP72,Yes,11/01/2008,49.01,16.91,,5306,,7.28227,-25.30676,No blood sample obtained.
PAL0708,Anvers,Biscoe,"Adult, 1 Egg Stage",NP1,Yes,01/11/2007,47.5,17.52,180.72,5578,FEMALE,8.66853,-24.95453,
PAL0809,Anvers,Biscoe,"Adult, 1 Egg Stage",N11A1,No,09/11/2008,52.35,16.14,184.87,5460,FEMALE,8.47829,-26.61788,Nest never observed with full clutch.
PAL0910,Anvers,Torgersen,"Adult, 1 Egg Stage",NP30,Yes,30/11/2007,50.01,16.64,183.99,5914,FEMALE,8.54357,-25.65883,
PAL0910,Anvers,Torgersen,"Adult, 1 Egg Stage",N67A1,Yes,16/11/2009,53.69,12.89,186.97,3365,FEMALE,9.30722,-25.61039,
PAL0910,Anvers,Biscoe,"Adult, 1 Egg Stage",N15A1,Yes,25/11/2009,37.8,17.59,218.39,4790,FEMALE,8.29671,-26.08547,
PAL0910,Anvers,Biscoe,"Adult, 1 Egg Stage",N58A2,Yes,12/11/2009,49.21,17.94,217.85,4926,MALE,8.65466,-26.32909,
PAL0910,Anvers,Dream,"Adult, 1 Egg Stage",N77A2,Yes,13/11/2009,38.98,10.35,193.83,5988,MALE,8.94365,-26.06943,
PAL0809,Anvers,Biscoe,"Adult, 1 Egg Stage",N54A2,Yes,03/11/2008,55.69,11.92,189.18,3592,MALE,8.35078,-26.70783,
